,Title,Description,Link
30,Moderate Dems silent as Biden skirts Senate confirmation for John Kerry's replacement,Senate Democrats were silent when asked by Fox News Digital for a response to President Biden's decision to appoint John Podesta to a top policy role without Senate confirmation.,/politics/moderate-dems-silent-biden-skirts-senate-confirmation-john-kerrys-replacement
31,DC jury orders conservative commentator to pay $1M for defaming climate scientist,"Two conservative commentators were found guilty Thursday of defaming a prominent climate scientist who created the famed ""hockey stick"" graph.",/politics/dc-jury-orders-conservative-commentator-pay-1-million-defaming-climate-scientist
32,AOC declares victory in fight for Green New Deal 5 years later: 'Social and ecological transformation',"Rep. Alexandria Ocasio-Cortez declared victory in her fight for a Green New Deal, saying President Biden has pursued her vision but called for additional ""transformation.""",/politics/aoc-declares-victory-fight-green-new-deal-5-years-later-social-ecological-transformation
33,Why gas stove owners should still be worried,"The Biden administration is backtracking on energy efficiency regulation of gas stoves but, given their climate agenda, there are still ways they could go after them.",/opinion/why-gas-stove-owners-should-still-worried
34,"State AGs warn Biden's natural gas moratorium violates federal law, demand reversal",FIRST ON FOX: A group of nearly two dozen states are warning that President Biden's latest crackdown on natural gas exports may violate several federal statutes.,/politics/state-ags-warn-bidens-natural-gas-moratorium-violates-federal-law-demand-reversal
35,John Kerry's climate office faces GOP Oversight probe over coordination with eco group 'kitchen cabinet',FIRST ON FOX: The House Oversight Committee is expanding its investigation into Special Presidential Envoy for Climate John Kerry's apparent frequent work with eco groups.,/politics/john-kerrys-climate-office-faces-gop-oversight-probe-coordination-eco-group-kitchen-cabinet
36,"Biden's latest climate rules crack down on manufacturing, ignoring industry warnings of economic devastation","The Environmental Protection Agency unveiled a sweeping regulatory action, curbing particulate matter emissions from industry sources such as manufacturing and energy.",/politics/bidens-latest-climate-rules-crack-down-manufacturing-ignoring-industry-warnings-economic-devastation
37,"Biden admin sued for hiding John Kerry's staff, coordination with eco groups",FIRST ON FOX: The Biden administration was hit with a federal complaint Tuesday for allegedly failing to divulge the names of climate envoy John Kerry's taxpayer-funded staff.,/politics/biden-admin-sued-hiding-john-kerrys-staff-coordination-eco-groups
38,TikTok activist says he advised White House on Biden's new natural gas moratorium,A climate change activist who has a large following on TikTok told Fox News Digital that he met with the White House ahead of its action blocking new natural gas exports.,/politics/tiktok-activist-says-he-advised-white-house-bidens-new-natural-gas-moratorium
39,Another dead whale beaches in Maryland amid rapid offshore wind development,State officials in Maryland reported a second humpback whale death in three weeks as developers and government agencies race to construct more green energy.,/politics/another-dead-whale-beaches-maryland-amid-rapid-offshore-wind-development
40,Moderate Dems silent as Biden skirts Senate confirmation for John Kerry's replacement,Senate Democrats were silent when asked by Fox News Digital for a response to President Biden's decision to appoint John Podesta to a top policy role without Senate confirmation.,/politics/moderate-dems-silent-biden-skirts-senate-confirmation-john-kerrys-replacement
41,DC jury orders conservative commentator to pay $1M for defaming climate scientist,"Two conservative commentators were found guilty Thursday of defaming a prominent climate scientist who created the famed ""hockey stick"" graph.",/politics/dc-jury-orders-conservative-commentator-pay-1-million-defaming-climate-scientist
42,AOC declares victory in fight for Green New Deal 5 years later: 'Social and ecological transformation',"Rep. Alexandria Ocasio-Cortez declared victory in her fight for a Green New Deal, saying President Biden has pursued her vision but called for additional ""transformation.""",/politics/aoc-declares-victory-fight-green-new-deal-5-years-later-social-ecological-transformation
43,Why gas stove owners should still be worried,"The Biden administration is backtracking on energy efficiency regulation of gas stoves but, given their climate agenda, there are still ways they could go after them.",/opinion/why-gas-stove-owners-should-still-worried
44,"State AGs warn Biden's natural gas moratorium violates federal law, demand reversal",FIRST ON FOX: A group of nearly two dozen states are warning that President Biden's latest crackdown on natural gas exports may violate several federal statutes.,/politics/state-ags-warn-bidens-natural-gas-moratorium-violates-federal-law-demand-reversal
45,John Kerry's climate office faces GOP Oversight probe over coordination with eco group 'kitchen cabinet',FIRST ON FOX: The House Oversight Committee is expanding its investigation into Special Presidential Envoy for Climate John Kerry's apparent frequent work with eco groups.,/politics/john-kerrys-climate-office-faces-gop-oversight-probe-coordination-eco-group-kitchen-cabinet
46,"Biden's latest climate rules crack down on manufacturing, ignoring industry warnings of economic devastation","The Environmental Protection Agency unveiled a sweeping regulatory action, curbing particulate matter emissions from industry sources such as manufacturing and energy.",/politics/bidens-latest-climate-rules-crack-down-manufacturing-ignoring-industry-warnings-economic-devastation
47,"Biden admin sued for hiding John Kerry's staff, coordination with eco groups",FIRST ON FOX: The Biden administration was hit with a federal complaint Tuesday for allegedly failing to divulge the names of climate envoy John Kerry's taxpayer-funded staff.,/politics/biden-admin-sued-hiding-john-kerrys-staff-coordination-eco-groups
48,TikTok activist says he advised White House on Biden's new natural gas moratorium,A climate change activist who has a large following on TikTok told Fox News Digital that he met with the White House ahead of its action blocking new natural gas exports.,/politics/tiktok-activist-says-he-advised-white-house-bidens-new-natural-gas-moratorium
49,Another dead whale beaches in Maryland amid rapid offshore wind development,State officials in Maryland reported a second humpback whale death in three weeks as developers and government agencies race to construct more green energy.,/politics/another-dead-whale-beaches-maryland-amid-rapid-offshore-wind-development
50,Moderate Dems silent as Biden skirts Senate confirmation for John Kerry's replacement,Senate Democrats were silent when asked by Fox News Digital for a response to President Biden's decision to appoint John Podesta to a top policy role without Senate confirmation.,/politics/moderate-dems-silent-biden-skirts-senate-confirmation-john-kerrys-replacement
51,DC jury orders conservative commentator to pay $1M for defaming climate scientist,"Two conservative commentators were found guilty Thursday of defaming a prominent climate scientist who created the famed ""hockey stick"" graph.",/politics/dc-jury-orders-conservative-commentator-pay-1-million-defaming-climate-scientist
52,AOC declares victory in fight for Green New Deal 5 years later: 'Social and ecological transformation',"Rep. Alexandria Ocasio-Cortez declared victory in her fight for a Green New Deal, saying President Biden has pursued her vision but called for additional ""transformation.""",/politics/aoc-declares-victory-fight-green-new-deal-5-years-later-social-ecological-transformation
53,Why gas stove owners should still be worried,"The Biden administration is backtracking on energy efficiency regulation of gas stoves but, given their climate agenda, there are still ways they could go after them.",/opinion/why-gas-stove-owners-should-still-worried
54,"State AGs warn Biden's natural gas moratorium violates federal law, demand reversal",FIRST ON FOX: A group of nearly two dozen states are warning that President Biden's latest crackdown on natural gas exports may violate several federal statutes.,/politics/state-ags-warn-bidens-natural-gas-moratorium-violates-federal-law-demand-reversal
55,John Kerry's climate office faces GOP Oversight probe over coordination with eco group 'kitchen cabinet',FIRST ON FOX: The House Oversight Committee is expanding its investigation into Special Presidential Envoy for Climate John Kerry's apparent frequent work with eco groups.,/politics/john-kerrys-climate-office-faces-gop-oversight-probe-coordination-eco-group-kitchen-cabinet
56,"Biden's latest climate rules crack down on manufacturing, ignoring industry warnings of economic devastation","The Environmental Protection Agency unveiled a sweeping regulatory action, curbing particulate matter emissions from industry sources such as manufacturing and energy.",/politics/bidens-latest-climate-rules-crack-down-manufacturing-ignoring-industry-warnings-economic-devastation
57,"Biden admin sued for hiding John Kerry's staff, coordination with eco groups",FIRST ON FOX: The Biden administration was hit with a federal complaint Tuesday for allegedly failing to divulge the names of climate envoy John Kerry's taxpayer-funded staff.,/politics/biden-admin-sued-hiding-john-kerrys-staff-coordination-eco-groups
58,TikTok activist says he advised White House on Biden's new natural gas moratorium,A climate change activist who has a large following on TikTok told Fox News Digital that he met with the White House ahead of its action blocking new natural gas exports.,/politics/tiktok-activist-says-he-advised-white-house-bidens-new-natural-gas-moratorium
59,Another dead whale beaches in Maryland amid rapid offshore wind development,State officials in Maryland reported a second humpback whale death in three weeks as developers and government agencies race to construct more green energy.,/politics/another-dead-whale-beaches-maryland-amid-rapid-offshore-wind-development
60,Moderate Dems silent as Biden skirts Senate confirmation for John Kerry's replacement,Senate Democrats were silent when asked by Fox News Digital for a response to President Biden's decision to appoint John Podesta to a top policy role without Senate confirmation.,/politics/moderate-dems-silent-biden-skirts-senate-confirmation-john-kerrys-replacement
61,DC jury orders conservative commentator to pay $1M for defaming climate scientist,"Two conservative commentators were found guilty Thursday of defaming a prominent climate scientist who created the famed ""hockey stick"" graph.",/politics/dc-jury-orders-conservative-commentator-pay-1-million-defaming-climate-scientist
62,AOC declares victory in fight for Green New Deal 5 years later: 'Social and ecological transformation',"Rep. Alexandria Ocasio-Cortez declared victory in her fight for a Green New Deal, saying President Biden has pursued her vision but called for additional ""transformation.""",/politics/aoc-declares-victory-fight-green-new-deal-5-years-later-social-ecological-transformation
63,Why gas stove owners should still be worried,"The Biden administration is backtracking on energy efficiency regulation of gas stoves but, given their climate agenda, there are still ways they could go after them.",/opinion/why-gas-stove-owners-should-still-worried
64,"State AGs warn Biden's natural gas moratorium violates federal law, demand reversal",FIRST ON FOX: A group of nearly two dozen states are warning that President Biden's latest crackdown on natural gas exports may violate several federal statutes.,/politics/state-ags-warn-bidens-natural-gas-moratorium-violates-federal-law-demand-reversal
65,John Kerry's climate office faces GOP Oversight probe over coordination with eco group 'kitchen cabinet',FIRST ON FOX: The House Oversight Committee is expanding its investigation into Special Presidential Envoy for Climate John Kerry's apparent frequent work with eco groups.,/politics/john-kerrys-climate-office-faces-gop-oversight-probe-coordination-eco-group-kitchen-cabinet
66,"Biden's latest climate rules crack down on manufacturing, ignoring industry warnings of economic devastation","The Environmental Protection Agency unveiled a sweeping regulatory action, curbing particulate matter emissions from industry sources such as manufacturing and energy.",/politics/bidens-latest-climate-rules-crack-down-manufacturing-ignoring-industry-warnings-economic-devastation
67,"Biden admin sued for hiding John Kerry's staff, coordination with eco groups",FIRST ON FOX: The Biden administration was hit with a federal complaint Tuesday for allegedly failing to divulge the names of climate envoy John Kerry's taxpayer-funded staff.,/politics/biden-admin-sued-hiding-john-kerrys-staff-coordination-eco-groups
68,TikTok activist says he advised White House on Biden's new natural gas moratorium,A climate change activist who has a large following on TikTok told Fox News Digital that he met with the White House ahead of its action blocking new natural gas exports.,/politics/tiktok-activist-says-he-advised-white-house-bidens-new-natural-gas-moratorium
69,Another dead whale beaches in Maryland amid rapid offshore wind development,State officials in Maryland reported a second humpback whale death in three weeks as developers and government agencies race to construct more green energy.,/politics/another-dead-whale-beaches-maryland-amid-rapid-offshore-wind-development
70,Moderate Dems silent as Biden skirts Senate confirmation for John Kerry's replacement,Senate Democrats were silent when asked by Fox News Digital for a response to President Biden's decision to appoint John Podesta to a top policy role without Senate confirmation.,/politics/moderate-dems-silent-biden-skirts-senate-confirmation-john-kerrys-replacement
71,DC jury orders conservative commentator to pay $1M for defaming climate scientist,"Two conservative commentators were found guilty Thursday of defaming a prominent climate scientist who created the famed ""hockey stick"" graph.",/politics/dc-jury-orders-conservative-commentator-pay-1-million-defaming-climate-scientist
72,AOC declares victory in fight for Green New Deal 5 years later: 'Social and ecological transformation',"Rep. Alexandria Ocasio-Cortez declared victory in her fight for a Green New Deal, saying President Biden has pursued her vision but called for additional ""transformation.""",/politics/aoc-declares-victory-fight-green-new-deal-5-years-later-social-ecological-transformation
73,Why gas stove owners should still be worried,"The Biden administration is backtracking on energy efficiency regulation of gas stoves but, given their climate agenda, there are still ways they could go after them.",/opinion/why-gas-stove-owners-should-still-worried
74,"State AGs warn Biden's natural gas moratorium violates federal law, demand reversal",FIRST ON FOX: A group of nearly two dozen states are warning that President Biden's latest crackdown on natural gas exports may violate several federal statutes.,/politics/state-ags-warn-bidens-natural-gas-moratorium-violates-federal-law-demand-reversal
75,John Kerry's climate office faces GOP Oversight probe over coordination with eco group 'kitchen cabinet',FIRST ON FOX: The House Oversight Committee is expanding its investigation into Special Presidential Envoy for Climate John Kerry's apparent frequent work with eco groups.,/politics/john-kerrys-climate-office-faces-gop-oversight-probe-coordination-eco-group-kitchen-cabinet
76,"Biden's latest climate rules crack down on manufacturing, ignoring industry warnings of economic devastation","The Environmental Protection Agency unveiled a sweeping regulatory action, curbing particulate matter emissions from industry sources such as manufacturing and energy.",/politics/bidens-latest-climate-rules-crack-down-manufacturing-ignoring-industry-warnings-economic-devastation
77,"Biden admin sued for hiding John Kerry's staff, coordination with eco groups",FIRST ON FOX: The Biden administration was hit with a federal complaint Tuesday for allegedly failing to divulge the names of climate envoy John Kerry's taxpayer-funded staff.,/politics/biden-admin-sued-hiding-john-kerrys-staff-coordination-eco-groups
78,TikTok activist says he advised White House on Biden's new natural gas moratorium,A climate change activist who has a large following on TikTok told Fox News Digital that he met with the White House ahead of its action blocking new natural gas exports.,/politics/tiktok-activist-says-he-advised-white-house-bidens-new-natural-gas-moratorium
79,Another dead whale beaches in Maryland amid rapid offshore wind development,State officials in Maryland reported a second humpback whale death in three weeks as developers and government agencies race to construct more green energy.,/politics/another-dead-whale-beaches-maryland-amid-rapid-offshore-wind-development
80,Moderate Dems silent as Biden skirts Senate confirmation for John Kerry's replacement,Senate Democrats were silent when asked by Fox News Digital for a response to President Biden's decision to appoint John Podesta to a top policy role without Senate confirmation.,/politics/moderate-dems-silent-biden-skirts-senate-confirmation-john-kerrys-replacement
81,DC jury orders conservative commentator to pay $1M for defaming climate scientist,"Two conservative commentators were found guilty Thursday of defaming a prominent climate scientist who created the famed ""hockey stick"" graph.",/politics/dc-jury-orders-conservative-commentator-pay-1-million-defaming-climate-scientist
82,AOC declares victory in fight for Green New Deal 5 years later: 'Social and ecological transformation',"Rep. Alexandria Ocasio-Cortez declared victory in her fight for a Green New Deal, saying President Biden has pursued her vision but called for additional ""transformation.""",/politics/aoc-declares-victory-fight-green-new-deal-5-years-later-social-ecological-transformation
83,Why gas stove owners should still be worried,"The Biden administration is backtracking on energy efficiency regulation of gas stoves but, given their climate agenda, there are still ways they could go after them.",/opinion/why-gas-stove-owners-should-still-worried
84,"State AGs warn Biden's natural gas moratorium violates federal law, demand reversal",FIRST ON FOX: A group of nearly two dozen states are warning that President Biden's latest crackdown on natural gas exports may violate several federal statutes.,/politics/state-ags-warn-bidens-natural-gas-moratorium-violates-federal-law-demand-reversal
85,John Kerry's climate office faces GOP Oversight probe over coordination with eco group 'kitchen cabinet',FIRST ON FOX: The House Oversight Committee is expanding its investigation into Special Presidential Envoy for Climate John Kerry's apparent frequent work with eco groups.,/politics/john-kerrys-climate-office-faces-gop-oversight-probe-coordination-eco-group-kitchen-cabinet
86,"Biden's latest climate rules crack down on manufacturing, ignoring industry warnings of economic devastation","The Environmental Protection Agency unveiled a sweeping regulatory action, curbing particulate matter emissions from industry sources such as manufacturing and energy.",/politics/bidens-latest-climate-rules-crack-down-manufacturing-ignoring-industry-warnings-economic-devastation
87,"Biden admin sued for hiding John Kerry's staff, coordination with eco groups",FIRST ON FOX: The Biden administration was hit with a federal complaint Tuesday for allegedly failing to divulge the names of climate envoy John Kerry's taxpayer-funded staff.,/politics/biden-admin-sued-hiding-john-kerrys-staff-coordination-eco-groups
88,TikTok activist says he advised White House on Biden's new natural gas moratorium,A climate change activist who has a large following on TikTok told Fox News Digital that he met with the White House ahead of its action blocking new natural gas exports.,/politics/tiktok-activist-says-he-advised-white-house-bidens-new-natural-gas-moratorium
89,Another dead whale beaches in Maryland amid rapid offshore wind development,State officials in Maryland reported a second humpback whale death in three weeks as developers and government agencies race to construct more green energy.,/politics/another-dead-whale-beaches-maryland-amid-rapid-offshore-wind-development
90,Moderate Dems silent as Biden skirts Senate confirmation for John Kerry's replacement,Senate Democrats were silent when asked by Fox News Digital for a response to President Biden's decision to appoint John Podesta to a top policy role without Senate confirmation.,/politics/moderate-dems-silent-biden-skirts-senate-confirmation-john-kerrys-replacement
91,DC jury orders conservative commentator to pay $1M for defaming climate scientist,"Two conservative commentators were found guilty Thursday of defaming a prominent climate scientist who created the famed ""hockey stick"" graph.",/politics/dc-jury-orders-conservative-commentator-pay-1-million-defaming-climate-scientist
92,AOC declares victory in fight for Green New Deal 5 years later: 'Social and ecological transformation',"Rep. Alexandria Ocasio-Cortez declared victory in her fight for a Green New Deal, saying President Biden has pursued her vision but called for additional ""transformation.""",/politics/aoc-declares-victory-fight-green-new-deal-5-years-later-social-ecological-transformation
93,Why gas stove owners should still be worried,"The Biden administration is backtracking on energy efficiency regulation of gas stoves but, given their climate agenda, there are still ways they could go after them.",/opinion/why-gas-stove-owners-should-still-worried
94,"State AGs warn Biden's natural gas moratorium violates federal law, demand reversal",FIRST ON FOX: A group of nearly two dozen states are warning that President Biden's latest crackdown on natural gas exports may violate several federal statutes.,/politics/state-ags-warn-bidens-natural-gas-moratorium-violates-federal-law-demand-reversal
95,John Kerry's climate office faces GOP Oversight probe over coordination with eco group 'kitchen cabinet',FIRST ON FOX: The House Oversight Committee is expanding its investigation into Special Presidential Envoy for Climate John Kerry's apparent frequent work with eco groups.,/politics/john-kerrys-climate-office-faces-gop-oversight-probe-coordination-eco-group-kitchen-cabinet
96,"Biden's latest climate rules crack down on manufacturing, ignoring industry warnings of economic devastation","The Environmental Protection Agency unveiled a sweeping regulatory action, curbing particulate matter emissions from industry sources such as manufacturing and energy.",/politics/bidens-latest-climate-rules-crack-down-manufacturing-ignoring-industry-warnings-economic-devastation
97,"Biden admin sued for hiding John Kerry's staff, coordination with eco groups",FIRST ON FOX: The Biden administration was hit with a federal complaint Tuesday for allegedly failing to divulge the names of climate envoy John Kerry's taxpayer-funded staff.,/politics/biden-admin-sued-hiding-john-kerrys-staff-coordination-eco-groups
98,TikTok activist says he advised White House on Biden's new natural gas moratorium,A climate change activist who has a large following on TikTok told Fox News Digital that he met with the White House ahead of its action blocking new natural gas exports.,/politics/tiktok-activist-says-he-advised-white-house-bidens-new-natural-gas-moratorium
99,Another dead whale beaches in Maryland amid rapid offshore wind development,State officials in Maryland reported a second humpback whale death in three weeks as developers and government agencies race to construct more green energy.,/politics/another-dead-whale-beaches-maryland-amid-rapid-offshore-wind-development
100,Moderate Dems silent as Biden skirts Senate confirmation for John Kerry's replacement,Senate Democrats were silent when asked by Fox News Digital for a response to President Biden's decision to appoint John Podesta to a top policy role without Senate confirmation.,/politics/moderate-dems-silent-biden-skirts-senate-confirmation-john-kerrys-replacement
101,DC jury orders conservative commentator to pay $1M for defaming climate scientist,"Two conservative commentators were found guilty Thursday of defaming a prominent climate scientist who created the famed ""hockey stick"" graph.",/politics/dc-jury-orders-conservative-commentator-pay-1-million-defaming-climate-scientist
102,AOC declares victory in fight for Green New Deal 5 years later: 'Social and ecological transformation',"Rep. Alexandria Ocasio-Cortez declared victory in her fight for a Green New Deal, saying President Biden has pursued her vision but called for additional ""transformation.""",/politics/aoc-declares-victory-fight-green-new-deal-5-years-later-social-ecological-transformation
103,Why gas stove owners should still be worried,"The Biden administration is backtracking on energy efficiency regulation of gas stoves but, given their climate agenda, there are still ways they could go after them.",/opinion/why-gas-stove-owners-should-still-worried
104,"State AGs warn Biden's natural gas moratorium violates federal law, demand reversal",FIRST ON FOX: A group of nearly two dozen states are warning that President Biden's latest crackdown on natural gas exports may violate several federal statutes.,/politics/state-ags-warn-bidens-natural-gas-moratorium-violates-federal-law-demand-reversal
105,John Kerry's climate office faces GOP Oversight probe over coordination with eco group 'kitchen cabinet',FIRST ON FOX: The House Oversight Committee is expanding its investigation into Special Presidential Envoy for Climate John Kerry's apparent frequent work with eco groups.,/politics/john-kerrys-climate-office-faces-gop-oversight-probe-coordination-eco-group-kitchen-cabinet
106,"Biden's latest climate rules crack down on manufacturing, ignoring industry warnings of economic devastation","The Environmental Protection Agency unveiled a sweeping regulatory action, curbing particulate matter emissions from industry sources such as manufacturing and energy.",/politics/bidens-latest-climate-rules-crack-down-manufacturing-ignoring-industry-warnings-economic-devastation
107,"Biden admin sued for hiding John Kerry's staff, coordination with eco groups",FIRST ON FOX: The Biden administration was hit with a federal complaint Tuesday for allegedly failing to divulge the names of climate envoy John Kerry's taxpayer-funded staff.,/politics/biden-admin-sued-hiding-john-kerrys-staff-coordination-eco-groups
108,TikTok activist says he advised White House on Biden's new natural gas moratorium,A climate change activist who has a large following on TikTok told Fox News Digital that he met with the White House ahead of its action blocking new natural gas exports.,/politics/tiktok-activist-says-he-advised-white-house-bidens-new-natural-gas-moratorium
109,Another dead whale beaches in Maryland amid rapid offshore wind development,State officials in Maryland reported a second humpback whale death in three weeks as developers and government agencies race to construct more green energy.,/politics/another-dead-whale-beaches-maryland-amid-rapid-offshore-wind-development
